cycle,temperature_c,humidity_pct,status,response_ms
1,18.4,52.1,OK,118
2,18.6,51.8,OK,122
3,19.1,50.4,OK,115
4,19.3,49.7,OK,119
5,20.0,48.9,OK,121
6,20.4,48.2,OK,117
7,21.1,47.5,OK,124
8,21.3,47.1,OK,120
9,22.0,46.8,OK,116
10,22.4,46.2,OK,123
11,22.7,45.9,OK,118
12,23.1,45.3,OK,125
13,23.5,44.8,OK,119
14,,,FAIL,--
15,24.1,44.1,OK,122
16,24.4,43.7,OK,117
17,24.7,43.2,OK,120
18,25.0,42.8,OK,124
19,25.0,42.5,OK,118
20,24.6,42.9,OK,121
21,24.2,43.4,OK,116
22,23.8,44.0,OK,122
23,23.3,44.6,OK,119
24,22.9,45.1,OK,123
25,22.4,45.7,OK,117
26,21.8,46.3,OK,120
27,21.2,47.0,OK,118
28,20.6,47.8,OK,122
29,19.9,48.5,OK,121
30,19.3,49.2,OK,119
31,18.8,49.9,OK,120
32,18.4,50.5,OK,116
33,18.1,51.0,OK,123
34,17.9,51.4,OK,118
35,17.7,51.8,OK,121
36,17.5,52.1,OK,119
37,17.6,52.3,OK,124
38,,,FAIL,--
39,17.8,52.0,OK,120
40,18.1,51.7,OK,117
41,18.5,51.2,OK,122
42,19.0,50.6,OK,118
43,19.7,50.0,OK,121
44,20.5,49.3,OK,116
45,21.4,48.5,OK,123
46,22.6,47.6,OK,119
47,23.9,46.4,OK,122
48,25.3,45.1,OK,118
49,26.8,43.7,OK,124
50,28.1,42.2,OK,120
51,29.4,40.8,OK,117
52,30.2,39.5,OK,121
53,30.8,38.3,OK,119
54,31.1,37.2,OK,123
55,31.0,36.8,OK,118
56,30.5,37.1,OK,122
57,29.7,37.9,OK,120
58,28.6,38.9,OK,116
59,27.3,40.1,OK,124
60,25.9,41.5,OK,119
61,24.4,43.0,OK,121
62,22.8,44.6,OK,117
63,21.2,46.2,OK,123
64,19.7,47.8,OK,120
65,18.3,49.3,OK,118
66,17.1,50.7,OK,122
67,16.2,51.9,OK,119
68,15.5,53.0,OK,124
69,14.9,54.0,OK,117
70,14.5,54.8,OK,121
71,14.2,55.4,OK,119
72,,,FAIL,--
73,14.1,55.8,OK,122
74,14.0,56.0,OK,118
75,14.1,55.9,OK,120
76,14.3,55.6,OK,116
77,14.6,55.2,OK,123
78,14.9,54.7,OK,119
79,15.3,54.1,OK,121
80,15.7,53.5,OK,118
81,16.1,52.9,OK,124
82,16.4,52.3,OK,120
83,16.7,51.8,OK,117
84,16.9,51.4,OK,122
85,17.0,51.1,OK,119
86,17.1,50.9,OK,121
87,17.2,50.7,OK,118
88,17.3,50.5,OK,123
89,,,FAIL,--
90,17.4,50.3,OK,120
91,17.5,50.2,OK,117
92,17.6,50.0,OK,122
93,17.7,49.9,OK,119
94,17.8,49.8,OK,121
95,17.9,49.7,OK,116
96,18.0,49.6,OK,124
97,18.1,49.5,OK,120
98,18.2,49.4,OK,118
99,18.3,49.3,OK,122
100,18.4,49.2,OK,119
