event_id,event_type,layer,timestamp
1,drug_registration,on-chain,2025-01-15 08:00:00
2,temp_reading,off-chain,2025-01-15 08:00:05
3,temp_reading,off-chain,2025-01-15 08:00:10
4,temp_reading,off-chain,2025-01-15 08:00:15
5,temp_reading,off-chain,2025-01-15 08:00:20
6,temp_reading,off-chain,2025-01-15 08:00:25
7,temp_reading,off-chain,2025-01-15 08:00:30
8,temp_reading,off-chain,2025-01-15 08:00:35
9,temp_reading,off-chain,2025-01-15 08:00:40
10,custody_checkpoint,on-chain,2025-01-15 08:00:45
11,temp_reading,off-chain,2025-01-15 08:00:50
12,temp_reading,off-chain,2025-01-15 08:00:55
13,temp_reading,off-chain,2025-01-15 08:01:00
14,temp_reading,off-chain,2025-01-15 08:01:05
15,temp_reading,off-chain,2025-01-15 08:01:10
16,temp_reading,off-chain,2025-01-15 08:01:15
17,temp_reading,off-chain,2025-01-15 08:01:20
18,temp_reading,off-chain,2025-01-15 08:01:25
19,temp_reading,off-chain,2025-01-15 08:01:30
20,custody_checkpoint,on-chain,2025-01-15 08:01:35
21,temp_reading,off-chain,2025-01-15 08:01:40
22,temp_reading,off-chain,2025-01-15 08:01:45
23,cold_chain_violation,on-chain,2025-01-15 08:01:50
24,temp_reading,off-chain,2025-01-15 08:01:55
25,temp_reading,off-chain,2025-01-15 08:02:00
26,custody_checkpoint,on-chain,2025-01-15 08:02:05
